2019-05-27 13:05:25.586 INFO  singlejartest.Main - Connecting...
2019-05-27 13:05:26.302 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - environment(jnlp.client.mode)=DEMO, platformInstanceId=null
2019-05-27 13:05:26.329 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 1 request [4B7C1B7F692F29989E8B2B1101D9E79E474A5C63]
2019-05-27 13:05:26.333 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - >> [https://login.dukascopy.com/authorization-1/demo/auth?munus=srp_api&passus=1&sermo=88952827-cb5d-4c9a-8ca7-8d8da82a6976&putent_genus=0&appello=4B7C1B7F692F29989E8B2B1101D9E79E474A5C63&srp_versio=1]
2019-05-27 13:05:28.379 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - << [{"B":"36a5718eeec980e1dbbeecd73401feb673448393a95e7a56e17bb619be84765876fae029977ceaa833bce30807d07756c41c95928e9c551989fa33941ac342abdb1a219951de88f5d7b13f1faaa8229be824c26281f64d63f5077bce56a76571e13aa4c0fc905a12dbdbc168417a1f760686d2605ac3f6feee287f977679b2e0ef0494d61cfd3b73dd3b790813878ca9e40997750555509611f259bb60319b92dfcfa6e8492a51b685c0c62152a03b54481e956efa39d274b3d93ece1be1419f7173e197ce36f938589791f3b95bb28f0a5b0b40ffecde67d4b9d4255e2da8c5af1dbc0e82a7a2628de0cfae708c80ecee961161bacc62e489e2e2940ece3908","S":"2ff6d58792b606f1c37ba22a031a1568","G":"2","H":"SHA-256","K":"5b9e8ef059c6b32ea59fc1d322d37f04aa30bae5aa9003b8321e21ddb04e300","N":"ac6bdb41324a9a9bf166de5e1389582faf72b6651987ee07fc3192943db56050a37329cbb4a099ed8193e0757767a13dd52312ab4b03310dcd7f48a9da04fd50e8083969edb767b0cf6095179a163ab3661a05fbd5faaae82918a9962f0b93b855f97993ec975eeaa80d740adbf4ff747359d041d5c33ea71d281e446b14773bca97b43a23fb801676bd207a436c6481f1d2b9078717461a5b9d32e688f87748544523b524b0d57d5ea77a2775d2ecfa032cfbdbf52fb3786160279004e57ae6af874e7303ce53299ccc041c7bc308d82a5698f3a8d0c38271ae35f8e9dbfbb694b5c803d89f7ae435de236d525f54759b65e372fcd68ef20fa7111f9e4aff73","srp_versio":"1"}]
2019-05-27 13:05:28.381 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 1 response [ServerResponseObject [passwordServerResponse=Step1ServerResponse [serverPublicValueB=36a5718eeec980e1dbbeecd73401feb673448393a95e7a56e17bb619be84765876fae029977ceaa833bce30807d07756c41c95928e9c551989fa33941ac342abdb1a219951de88f5d7b13f1faaa8229be824c26281f64d63f5077bce56a76571e13aa4c0fc905a12dbdbc168417a1f760686d2605ac3f6feee287f977679b2e0ef0494d61cfd3b73dd3b790813878ca9e40997750555509611f259bb60319b92dfcfa6e8492a51b685c0c62152a03b54481e956efa39d274b3d93ece1be1419f7173e197ce36f938589791f3b95bb28f0a5b0b40ffecde67d4b9d4255e2da8c5af1dbc0e82a7a2628de0cfae708c80ecee961161bacc62e489e2e2940ece3908, saltS=2ff6d58792b606f1c37ba22a031a1568, safePrimeN=ac6bdb41324a9a9bf166de5e1389582faf72b6651987ee07fc3192943db56050a37329cbb4a099ed8193e0757767a13dd52312ab4b03310dcd7f48a9da04fd50e8083969edb767b0cf6095179a163ab3661a05fbd5faaae82918a9962f0b93b855f97993ec975eeaa80d740adbf4ff747359d041d5c33ea71d281e446b14773bca97b43a23fb801676bd207a436c6481f1d2b9078717461a5b9d32e688f87748544523b524b0d57d5ea77a2775d2ecfa032cfbdbf52fb3786160279004e57ae6af874e7303ce53299ccc041c7bc308d82a5698f3a8d0c38271ae35f8e9dbfbb694b5c803d89f7ae435de236d525f54759b65e372fcd68ef20fa7111f9e4aff73, correspondingGeneratorG=2, hashAlgorithmH=SHA-256, srpProtocolVersion=1], ]]
2019-05-27 13:05:28.431 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 2 request A [5047884445297367843055745536593998136201961832197218072079851398316939912355119632806638404443355242097121344836033661895636699691724606934963614505425494438959806072431521257576485958943830276376119961644800466021152340554373825333437284276661866785864900324591173337109371695262356121359375203126057467208090375763921306127825442064677410736539011367111754009183153627417559070695134571412382604209209252264130639972733369792567562054095185330164495859628231237858816935204951995051259494307346672226228193796872298787905489345415505238426559551720983810786138995318452412527490703713002187154658431995519916525152], M1 [25824941317007519310493642525191186205675442837699936872018433575438273433391]
2019-05-27 13:05:28.431 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - >> [https://login.dukascopy.com/authorization-1/demo/auth?munus=srp_api&testimonium_nuntius=39186617bdea8aaa213e5d77ab8b2eb77ad15fc885b32bc834664e29d3a74f2f&passus=2&publicus_pendo=27fca893af2d36d2f2ab849dc2d35c33a1f2fdf381658f28551e5ce6af558885316490534a4c76eafd96d53478c206ca6550b455966cb4551656c0a78d0767fd9f57bd23c07c0149345faffc2bf00cd75cbd78a09e4de3ad978d76bf37bb952193685584da0f0900e8ebc0f7df8b293678bf3604aa03db89534db779bc21c9587e44c8127ea5464d8499f2f0b15109f1e3eec13f5f7ddffdf749d8f95cbb829d45edd8a31ca885929a4edd435bade1ac4ec3f9dac2160be282067eb7a9bdbd7f8658fb1f18b97aa77adf4a26ce1797410f364f9c6902a87fe39d0ba5cda9c681db33fa454938aa76d7ec8ef3b5e11dcdbcd90dd86f54da3a015a2e7fcb774660&sermo=88952827-cb5d-4c9a-8ca7-8d8da82a6976&putent_genus=0&srp_versio=1]
2019-05-27 13:05:29.686 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - << [{"M2":"96765c0cc92baa14d9027f158033a821dbadb95cdcdd2fae6cf97544226e547f","srp_versio":"1"}]
2019-05-27 13:05:29.687 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 2 response [ServerResponseObject [passwordServerResponse=Step2ServerResponse [serverEvidenceMessageM2=96765c0cc92baa14d9027f158033a821dbadb95cdcdd2fae6cf97544226e547f, srpProtocolVersion=1], ]]
2019-05-27 13:05:29.688 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 3 request
